min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,2.0
0.3314,40.0,45.0,50.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,2.0
0.4526,40.0,45.0,50.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4097,40.0,45.0,50.0,20.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.2034,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,2.0
0.3158,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.2891,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.4306,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.3359,40.0,45.0,50.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,2.0
0.2044,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.2838,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,2.0
0.2619,40.0,45.0,50.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,2.0
0.3516,40.0,45.0,40.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,40.0,5.0,2.0
0.3608,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
0.2505,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4437,40.0,45.0,40.0,20.0,5.0,3.0,15.0,0.0,40.0,5.0,4.0
0.4676,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,60.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,3.0,15.0,0.0,50.0,5.0,2.0
0.4676,40.0,45.0,40.0,10.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.1354,40.0,45.0,50.0,20.0,5.0,5.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,2.0
0.4676,40.0,45.0,50.0,20.0,5.0,5.0,15.0,0.0,40.0,5.0,4.0
0.3335,40.0,45.0,50.0,20.0,5.0,3.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,3.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,40.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,10.0,60.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,3.0,15.0,0.0,50.0,5.0,4.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,0.0,60.0,5.0,4.0
0.4676,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,2.0
0.4676,40.0,45.0,60.0,10.0,5.0,5.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,3.0,15.0,10.0,40.0,5.0,2.0
0.4676,40.0,45.0,60.0,20.0,5.0,5.0,15.0,10.0,60.0,5.0,2.0
0.2868,40.0,45.0,50.0,20.0,5.0,3.0,15.0,0.0,40.0,5.0,2.0
0.1590,40.0,45.0,50.0,10.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
0.4676,40.0,45.0,40.0,20.0,5.0,5.0,15.0,10.0,50.0,5.0,4.0
